任务,字段,使用状态,理由
任务一,age,严格模型保留,可作为任务前置解释变量
任务一,annual_income,严格模型保留,可作为任务前置解释变量
任务一,education_level,严格模型保留,可作为任务前置解释变量
任务一,city_type,严格模型保留,可作为任务前置解释变量
任务一,daily_commute_km,严格模型保留,可作为任务前置解释变量
任务一,weekly_travel_distance_km,严格模型保留,可作为任务前置解释变量
任务一,current_vehicle_type,严格模型保留,可作为任务前置解释变量
任务一,vehicle_age_years,严格模型保留,可作为任务前置解释变量
任务一,fuel_expense_per_month,严格模型保留,可作为任务前置解释变量
任务一,charging_station_accessibility,严格模型保留,可作为任务前置解释变量
任务一,nearest_charging_station_km,严格模型保留,可作为任务前置解释变量
任务一,home_charging_available,严格模型排除,目标、同步变量或下游派生结果
任务一,electricity_cost_per_kwh,严格模型保留,可作为任务前置解释变量
任务一,environmental_awareness_score,严格模型保留,可作为任务前置解释变量
任务一,government_incentive_awareness,严格模型保留,可作为任务前置解释变量
任务一,technology_affinity_score,严格模型保留,可作为任务前置解释变量
任务一,range_anxiety_score,严格模型保留,可作为任务前置解释变量
任务一,battery_replacement_concern,严格模型保留,可作为任务前置解释变量
任务一,ev_knowledge_score,严格模型保留,可作为任务前置解释变量
任务一,previous_ev_experience,严格模型保留,可作为任务前置解释变量
任务一,ev_adoption_likelihood,严格模型排除,目标、同步变量或下游派生结果
任务一,monthly_energy_consumption_kwh,严格模型排除,目标、同步变量或下游派生结果
任务一,monthly_charging_cost,严格模型排除,目标、同步变量或下游派生结果
任务二,age,严格模型保留,可作为任务前置解释变量
任务二,annual_income,严格模型保留,可作为任务前置解释变量
任务二,education_level,严格模型保留,可作为任务前置解释变量
任务二,city_type,严格模型保留,可作为任务前置解释变量
任务二,daily_commute_km,严格模型保留,可作为任务前置解释变量
任务二,weekly_travel_distance_km,严格模型保留,可作为任务前置解释变量
任务二,current_vehicle_type,严格模型保留,可作为任务前置解释变量
任务二,vehicle_age_years,严格模型保留,可作为任务前置解释变量
任务二,fuel_expense_per_month,严格模型保留,可作为任务前置解释变量
任务二,charging_station_accessibility,严格模型保留,可作为任务前置解释变量
任务二,nearest_charging_station_km,严格模型保留,可作为任务前置解释变量
任务二,home_charging_available,严格模型排除,目标、同步变量或下游派生结果
任务二,electricity_cost_per_kwh,严格模型保留,可作为任务前置解释变量
任务二,environmental_awareness_score,严格模型保留,可作为任务前置解释变量
任务二,government_incentive_awareness,严格模型保留,可作为任务前置解释变量
任务二,technology_affinity_score,严格模型保留,可作为任务前置解释变量
任务二,range_anxiety_score,严格模型排除,目标、同步变量或下游派生结果
任务二,battery_replacement_concern,宽松模型可加入,可能存在双向关系，需消融验证
任务二,ev_knowledge_score,严格模型保留,可作为任务前置解释变量
任务二,previous_ev_experience,严格模型保留,可作为任务前置解释变量
任务二,ev_adoption_likelihood,严格模型排除,目标、同步变量或下游派生结果
任务二,monthly_energy_consumption_kwh,严格模型排除,目标、同步变量或下游派生结果
任务二,monthly_charging_cost,严格模型排除,目标、同步变量或下游派生结果
任务三,age,严格模型保留,可作为任务前置解释变量
任务三,annual_income,严格模型保留,可作为任务前置解释变量
任务三,education_level,严格模型保留,可作为任务前置解释变量
任务三,city_type,严格模型保留,可作为任务前置解释变量
任务三,daily_commute_km,严格模型保留,可作为任务前置解释变量
任务三,weekly_travel_distance_km,严格模型保留,可作为任务前置解释变量
任务三,current_vehicle_type,严格模型保留,可作为任务前置解释变量
任务三,vehicle_age_years,严格模型保留,可作为任务前置解释变量
任务三,fuel_expense_per_month,严格模型保留,可作为任务前置解释变量
任务三,charging_station_accessibility,严格模型保留,可作为任务前置解释变量
任务三,nearest_charging_station_km,严格模型保留,可作为任务前置解释变量
任务三,home_charging_available,严格模型排除,目标、同步变量或下游派生结果
任务三,electricity_cost_per_kwh,严格模型保留,可作为任务前置解释变量
任务三,environmental_awareness_score,严格模型保留,可作为任务前置解释变量
任务三,government_incentive_awareness,严格模型保留,可作为任务前置解释变量
任务三,technology_affinity_score,严格模型保留,可作为任务前置解释变量
任务三,range_anxiety_score,严格模型排除,目标、同步变量或下游派生结果
任务三,battery_replacement_concern,严格模型保留,可作为任务前置解释变量
任务三,ev_knowledge_score,严格模型保留,可作为任务前置解释变量
任务三,previous_ev_experience,严格模型保留,可作为任务前置解释变量
任务三,ev_adoption_likelihood,严格模型排除,目标、同步变量或下游派生结果
任务三,monthly_energy_consumption_kwh,严格模型排除,目标、同步变量或下游派生结果
任务三,monthly_charging_cost,严格模型排除,目标、同步变量或下游派生结果
